x,y_obs,weight,y_calc,y_bkg,Q
44.1927,0.310417,1,0.309964,0.308283,3.06851
44.2129,0.330208,1,0.309875,0.308197,3.06984
44.2332,0.298958,1,0.309786,0.30811,3.07117
44.2534,0.277083,1,0.309698,0.308024,3.07251
44.2736,0.317708,1,0.30961,0.307939,3.07384
44.2938,0.304167,1,0.309523,0.307854,3.07517
44.3141,0.316667,1,0.309436,0.30777,3.07651
44.3343,0.272917,1,0.30935,0.307686,3.07784
44.3545,0.283333,1,0.309265,0.307602,3.07918
44.3747,0.284375,1,0.30918,0.307519,3.08051
44.395,0.2875,1,0.309095,0.307436,3.08184
44.4152,0.328125,1,0.309011,0.307354,3.08317
44.4354,0.294792,1,0.308928,0.307272,3.08451
44.4557,0.28125,1,0.308845,0.307191,3.08584
44.4759,0.298958,1,0.308762,0.30711,3.08717
44.4961,0.315625,1,0.30868,0.307029,3.08851
44.5163,0.305208,1,0.308599,0.306949,3.08984
44.5366,0.296875,1,0.308518,0.30687,3.09117
44.5568,0.286458,1,0.308437,0.306791,3.0925
44.577,0.340625,1,0.308357,0.306712,3.09384
44.5972,0.292708,1,0.308278,0.306634,3.09517
44.6175,0.313542,1,0.308199,0.306556,3.0965
44.6377,0.273958,1,0.30812,0.306479,3.09783
44.6579,0.303125,1,0.308043,0.306402,3.09916
44.6781,0.296875,1,0.307965,0.306325,3.1005
44.6984,0.279167,1,0.307888,0.30625,3.10183
44.7186,0.310417,1,0.307812,0.306174,3.10316
44.7388,0.307292,1,0.307736,0.306099,3.10449
44.759,0.288542,1,0.307661,0.306024,3.10582
44.7793,0.288542,1,0.307586,0.30595,3.10715
44.7995,0.284375,1,0.307512,0.305877,3.10848
44.8197,0.286458,1,0.307438,0.305803,3.10982
44.8399,0.280208,1,0.307365,0.305731,3.11115
44.8602,0.353125,1,0.307292,0.305658,3.11248
44.8804,0.303125,1,0.30722,0.305586,3.11381
44.9006,0.3125,1,0.307148,0.305515,3.11514
44.9209,0.280208,1,0.307077,0.305444,3.11647
44.9411,0.321875,1,0.307006,0.305373,3.1178
44.9613,0.30625,1,0.306936,0.305303,3.11913
44.9815,0.316667,1,0.306866,0.305234,3.12046
45.0018,0.295833,1,0.306797,0.305165,3.12179
45.022,0.282292,1,0.306728,0.305096,3.12312
45.0422,0.282292,1,0.30666,0.305028,3.12445
45.0624,0.272917,1,0.306593,0.30496,3.12578
45.0827,0.339583,1,0.306526,0.304893,3.12711
45.1029,0.298958,1,0.306459,0.304826,3.12844
45.1231,0.320833,1,0.306393,0.304759,3.12977
45.1433,0.284375,1,0.306327,0.304693,3.1311
45.1636,0.304167,1,0.306262,0.304628,3.13243
45.1838,0.310417,1,0.306198,0.304563,3.13376
45.204,0.3,1,0.306134,0.304498,3.13509
45.2242,0.301042,1,0.30607,0.304434,3.13642
45.2445,0.305208,1,0.306007,0.30437,3.13775
45.2647,0.30625,1,0.305945,0.304307,3.13908
45.2849,0.329167,1,0.305883,0.304244,3.1404
45.3051,0.295833,1,0.305822,0.304182,3.14173
45.3254,0.298958,1,0.305761,0.30412,3.14306
45.3456,0.373958,1,0.3057,0.304059,3.14439
45.3658,0.322917,1,0.305641,0.303998,3.14572
45.3861,0.315625,1,0.305581,0.303937,3.14705
45.4063,0.31875,1,0.305522,0.303877,3.14838
45.4265,0.286458,1,0.305464,0.303818,3.1497
45.4467,0.309375,1,0.305406,0.303758,3.15103
45.467,0.307292,1,0.305349,0.3037,3.15236
45.4872,0.326042,1,0.305292,0.303641,3.15369
45.5074,0.294792,1,0.305236,0.303584,3.15502
45.5276,0.309375,1,0.30518,0.303526,3.15634
45.5479,0.311458,1,0.305125,0.303469,3.15767
45.5681,0.333333,1,0.305071,0.303413,3.159
45.5883,0.308333,1,0.305016,0.303357,3.16033
45.6085,0.29375,1,0.304963,0.303302,3.16165
45.6288,0.311458,1,0.30491,0.303247,3.16298
45.649,0.328125,1,0.304857,0.303192,3.16431
45.6692,0.284375,1,0.304805,0.303138,3.16564
45.6894,0.311458,1,0.304753,0.303084,3.16696
45.7097,0.265625,1,0.304702,0.303031,3.16829
45.7299,0.296875,1,0.304652,0.302978,3.16962
45.7501,0.304167,1,0.304602,0.302926,3.17094
45.7703,0.319792,1,0.304552,0.302874,3.17227
45.7906,0.330208,1,0.304503,0.302822,3.1736
45.8108,0.322917,1,0.304455,0.302771,3.17492
45.831,0.309375,1,0.304407,0.302721,3.17625
45.8513,0.313542,1,0.30436,0.302671,3.17757
45.8715,0.288542,1,0.304313,0.302621,3.1789
45.8917,0.30625,1,0.304267,0.302572,3.18023
45.9119,0.294792,1,0.304221,0.302523,3.18155
45.9322,0.284375,1,0.304175,0.302475,3.18288
45.9524,0.31875,1,0.304131,0.302427,3.1842
45.9726,0.305208,1,0.304086,0.30238,3.18553
45.9928,0.298958,1,0.304043,0.302333,3.18685
46.0131,0.304167,1,0.303999,0.302287,3.18818
46.0333,0.294792,1,0.303957,0.302241,3.1895
46.0535,0.31875,1,0.303915,0.302195,3.19083
46.0737,0.319792,1,0.303873,0.30215,3.19215
46.094,0.277083,1,0.303832,0.302105,3.19348
46.1142,0.298958,1,0.303791,0.302061,3.1948
46.1344,0.276042,1,0.303751,0.302018,3.19613
46.1546,0.330208,1,0.303712,0.301974,3.19745
46.1749,0.307292,1,0.303673,0.301931,3.19878
46.1951,0.258333,1,0.303634,0.301889,3.2001
