n_cubic_rows,feature,spearman_rho,abs_rho,in_figure
16024,W,0.11004504482409994,0.11004504482409994,False
16024,MagpieData avg_dev AtomicWeight,0.1048789482252273,0.1048789482252273,False
16024,Bi,0.10350375547643174,0.10350375547643174,False
16024,MagpieData mean MendeleevNumber,0.09729184071179017,0.09729184071179017,False
16024,MagpieData mean NpUnfilled,0.08991273568105336,0.08991273568105336,False
16024,MagpieData mean NfUnfilled,0.089362242289476,0.089362242289476,False
16024,Be,-0.08827865939124663,0.08827865939124663,False
16024,Pr,0.0878748781591953,0.0878748781591953,False
16024,B,-0.08707644804315987,0.08707644804315987,False
16024,Sb,0.08581095716841916,0.08581095716841916,False
16024,N,-0.08026689150511471,0.08026689150511471,False
16024,La,0.07425339527669984,0.07425339527669984,False
16024,Nb,0.07341196587108391,0.07341196587108391,False
16024,Rh,-0.07241333253953224,0.07241333253953224,False
16024,Pd,-0.07215366201319265,0.07215366201319265,False
16024,MagpieData avg_dev NsUnfilled,0.07075756708380329,0.07075756708380329,False
16024,Ce,0.06497433377239814,0.06497433377239814,False
16024,Nd,0.06436624256181861,0.06436624256181861,False
16024,Pt,-0.06319581183257818,0.06319581183257818,False
16024,Np,-0.05642343277719752,0.05642343277719752,False
16024,Tc,-0.05491739327053323,0.05491739327053323,False
16024,Tl,0.05463071596162799,0.05463071596162799,False
16024,Si,-0.05162251717976445,0.05162251717976445,False
16024,Sm,0.051434719330538475,0.051434719330538475,False
16024,MagpieData avg_dev MeltingT,0.04995576065049712,0.04995576065049712,False
16024,Y,0.04620922388566722,0.04620922388566722,False
16024,Hg,0.04193289518268372,0.04193289518268372,False
16024,Tb,0.03894713347667785,0.03894713347667785,False
16024,MagpieData avg_dev NUnfilled,0.03782590506900736,0.03782590506900736,False
16024,S,0.037691086411019585,0.037691086411019585,False
16024,Ru,-0.03660823502671416,0.03660823502671416,False
16024,Sc,-0.03533786615759867,0.03533786615759867,False
16024,MagpieData avg_dev NdValence,-0.03485750280530824,0.03485750280530824,False
16024,H,-0.033854493083901795,0.033854493083901795,False
16024,Ga,-0.03362223065702323,0.03362223065702323,False
16024,Pu,-0.03286712378211467,0.03286712378211467,False
16024,Ti,-0.03244769874441714,0.03244769874441714,False
16024,Zn,-0.03231250737531558,0.03231250737531558,False
16024,MagpieData mean NsUnfilled,0.032176307896470545,0.032176307896470545,False
16024,Pa,-0.03188274505277533,0.03188274505277533,False
16024,MagpieData avg_dev NsValence,0.03174728364989395,0.03174728364989395,False
16024,Se,-0.03146192390444088,0.03146192390444088,False
16024,Fe,0.031130949703828136,0.031130949703828136,False
16024,Cl,0.030190819864322888,0.030190819864322888,False
16024,Sn,0.02925763389556097,0.02925763389556097,False
16024,Dy,0.029184777857030355,0.029184777857030355,False
16024,Al,-0.029072749472735297,0.029072749472735297,False
16024,MagpieData mean GSmagmom,-0.029016583335136903,0.029016583335136903,False
16024,MagpieData mean GSbandgap,0.028416168387085616,0.028416168387085616,False
16024,In,0.028340880699339235,0.028340880699339235,False
16024,Ni,-0.02787705959177118,0.02787705959177118,False
16024,Os,-0.02632413396644584,0.02632413396644584,False
16024,avg f valence electrons,-0.02563901856481039,0.02563901856481039,False
16024,MagpieData mean NfValence,-0.02563901856481039,0.02563901856481039,False
16024,Tm,-0.024524398244250786,0.024524398244250786,False
16024,Th,-0.024415153141249337,0.024415153141249337,False
16024,Mo,0.022307951562271867,0.022307951562271867,False
16024,Te,-0.022061091398883025,0.022061091398883025,False
16024,MagpieData avg_dev GSbandgap,0.022048564332197453,0.022048564332197453,False
16024,Co,-0.021144364346689207,0.021144364346689207,False
16024,Ir,-0.021099100175385806,0.021099100175385806,False
16024,Ac,0.021064887878039007,0.021064887878039007,False
16024,Yb,-0.021064489324268326,0.021064489324268326,False
16024,MagpieData avg_dev GSmagmom,-0.021047952305081906,0.021047952305081906,False
16024,Ag,0.01908970904059645,0.01908970904059645,False
16024,Mg,-0.01882469037062597,0.01882469037062597,False
16024,MagpieData avg_dev NdUnfilled,-0.01834982274351501,0.01834982274351501,False
16024,Li,0.018155328396601687,0.018155328396601687,False
16024,MagpieData avg_dev NfValence,0.018122910668658208,0.018122910668658208,False
16024,U,0.018023897003576612,0.018023897003576612,False
16024,Ta,-0.017208909504576642,0.017208909504576642,False
16024,Er,-0.017142826310160446,0.017142826310160446,False
16024,Zr,0.016953494758784826,0.016953494758784826,False
16024,Cr,0.01667595395516572,0.01667595395516572,False
16024,Gd,0.016456240248898028,0.016456240248898028,False
16024,MagpieData avg_dev NpUnfilled,-0.015376898586892644,0.015376898586892644,False
16024,Re,-0.01504288412730703,0.01504288412730703,False
16024,Hf,0.014990306409035247,0.014990306409035247,False
16024,Lu,-0.014854385196473176,0.014854385196473176,False
16024,As,-0.01483055677546018,0.01483055677546018,False
16024,Pb,-0.014490083241599373,0.014490083241599373,False
16024,Br,-0.013105764015368133,0.013105764015368133,False
16024,Cu,-0.012683349623934635,0.012683349623934635,False
16024,Cd,-0.01230114340122613,0.01230114340122613,False
16024,P,-0.012222277865506895,0.012222277865506895,False
16024,Ho,-0.01146090746828088,0.01146090746828088,False
16024,Au,0.010679152525947554,0.010679152525947554,False
16024,avg s valence electrons,0.008631114742904445,0.008631114742904445,False
16024,MagpieData mean NsValence,0.008631114742904445,0.008631114742904445,False
16024,Pm,0.005823366335252278,0.005823366335252278,False
16024,V,0.0043048541471552015,0.0043048541471552015,False
16024,I,-0.003148224072357071,0.003148224072357071,False
16024,MagpieData avg_dev NValence,0.0014980487522593693,0.0014980487522593693,False
16024,Mn,0.00071653667568159,0.00071653667568159,False
16024,Ge,-0.000648176344019469,0.000648176344019469,False
16024,cs_cubic,,,False
16024,cs_hexagonal,,,False
16024,cs_tetragonal,,,False
16024,cs_orthorhombic,,,False
16024,cs_monoclinic,,,False
16024,cs_triclinic,,,False
16024,cs_trigonal,,,False
